Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Escola Básica e Secundária Dr. João Brito Camacho, Almodôvar;37.512512;-8.055901;Beja;Público;CDE
Escola Profissional de Alvito;38.255005;-7.994215;Beja;Privado;DO
Escola Básica n.º 1 de Alvito;38.259752;-7.992195;Beja;Público;ABCD
Escola Básica de Barrancos;38.13294;-6.9787507;Beja;Público;BCD
Conservatório Regional do Baixo Alentejo;38.015633;-7.865401;Beja;Privado;M
Escola Profissional Bento de Jesus Caraça (Deleg.);38.016582600215;-7.8659936785698;Beja;Privado;O
"Externato ""António Sérgio""";38.05609;-7.98426;Beja;Privado;CD
Escola Básica de Santa Maria, Beja;38.019993;-7.8637934;Beja;Público;ABCD
Escola Básica de Santiago Maior, Beja;38.018436;-7.874036;Beja;Público;ABCD
Escola Secundária Diogo de Gouveia, Beja;38.01073;-7.863572;Beja;Público;DE
Escola Básica Mário Beirão, Beja;38.005657;-7.856127;Beja;Público;ABCD
Escola Secundária D. Manuel I, Beja;38.00772;-7.865776;Beja;Público;DE
Conservatório Regional do Baixo Alentejo (Delegação de Castro Verde);37.70226;-8.088235;Beja;Privado;M
Escola Básica Dr. António Colaço, Castro Verde;37.702106;-8.091432;Beja;Público;CD
Escola Secundária de Castro Verde;37.703156;-8.089092;Beja;Público;DE
Escola Profissional de Cuba;38.161446;-7.891896;Beja;Privado;DO
Escola Básica Fialho de Almeida, Cuba;38.17093;-7.892577;Beja;Público;ABCD
Escola Básica e Secundária José Gomes Ferreira, Ferreira do Alentejo;38.062733;-8.115177;Beja;Público;CDE
Escola Profissional Alsud;37.64251;-7.655923;Beja;Privado;O
Escola Básica e Secundária de São Sebastião, Mértola;37.64383;-7.654675;Beja;Público;CDE
Conservatório Regional do Baixo Alentejo (Deleg. de Moura);38.141697;-7.449444;Beja;Privado;M
Escola Profissional de Moura;38.13525;-7.4485855;Beja;Privado;DO
Escola Básica de Amareleja, Moura;38.204155;-7.223364;Beja;Público;ABCD
Escola Básica de Moura;38.142162;-7.4448395;Beja;Público;CD
Escola Secundária de Moura;38.142056;-7.4432597;Beja;Público;DE
Colégio de Nossa Senhora da Graça;37.72515;-8.780318;Beja;Privado;ACDE
Escola Profissional de Odemira;37.598618;-8.631346;Beja;Privado;DO
Escola Básica Aviador Brito Paes, Colos, Odemira;37.733055;-8.46557;Beja;Público;BCD
Escola Básica Damião de Odemira, Odemira;37.59861;-8.632752;Beja;Público;CD
Escola Secundária Dr. Manuel Candeias Gonçalves, Odemira;37.59633;-8.631633;Beja;Público;E
Escola Básica n.º 1 de Sabóia, Odemira;37.49744;-8.498368;Beja;Público;CD
Escola Básica Engenheiro Manuel R. Amaro da Costa, São Teotónio, Odemira;37.51084;-8.705423;Beja;Público;CD
Escola Básica e Secundária de Ourique;37.650436;-8.228506;Beja;Público;CDE
Escola Profissional de Desenvolvimento Rural de Serpa;37.957573;-7.615131;Beja;Público;O
Escola Básica de Abade Correia da Serra, Serpa;37.939426;-7.59176;Beja;Público;CD
Escola Básica de Pias, Serpa;38.024773;-7.478265;Beja;Público;ABCD
Escola Básica n.º 1 de Vila Nova de S. Bento, Serpa;37.92904;-7.406958;Beja;Público;CD
Escola Secundária de Serpa;37.93966;-7.5989923;Beja;Público;DE
Escola Profissional Fialho de Almeida (Sede);38.21252;-7.800843;Beja;Privado;O
Escola Básica Frei António Chagas, Vidigueira;38.208122;-7.80643;Beja;Público;ABCD
Escola Básica de Amares;41.63134;-8.371671;Braga;Público;CD
Escola Secundária de Amares;41.63312;-8.365475;Braga;Público;DE
Academia de Música de Viatodos;41.450732;-8.561695;Braga;Privado;M
"Colégio ""La Salle""";41.52465;-8.612551;Braga;Privado;CDE
Conservatório de Música de Barcelos;41.52917;-8.6214485;Braga;Privado;CDEM
DIDÁLVI - Cooperativa de Ensino de Alvito - S. Pedro, CRL.;41.59909;-8.591933;Braga;Privado;BCDE
Escola Profissional de Barcelos;41.5294079;-8.6223472;Braga;Privado;DO
Escola Profissional de Tecnologia e Gestão de Barcelos;41.562023;-8.646595;Braga;Privado;DO
Escola Profissional Profitecla (Deleg.);41.53576;-8.619812;Braga;Privado;DO
Escola Secundária de Barcelinhos, Barcelos;41.52111;-8.619505;Braga;Público;DE
Escola Básica de Manhente, Barcelos;41.55545;-8.572895;Braga;Público;BCD
Escola Secundária Alcaides de Faria, Barcelos;41.53653;-8.617485;Braga;Público;DE
Escola Básica Abel Varzim, Barrancos, Barcelos;41.49837;-8.672451;Braga;Público;CD
Escola Secundária de Barcelos;41.529194;-8.61425;Braga;Público;DE
Escola Básica de Fragoso, Barcelos;41.61272;-8.713987;Braga;Público;ABCD
